企業名,投資ステージ,投資額範囲,重点投資分野,所在地,投資実績数,ウェブサイト
グローバル・ブレイン,シード-レイター,1億円-10億円,IT・AI・ロボティクス・バイオ,東京都港区,635件,https://globalbrains.com
イーストベンチャーズ,シード-アーリー,5000万円-5億円,テクノロジー全般・東南アジア,東京都港区,612件,https://east.vc
SMBCベンチャーキャピタル,アーリー-レイター,1億円-10億円,フィンテック・IT・バイオ,東京都港区,524件,https://www.smbc-vc.co.jp
三菱UFJキャピタル,アーリー-レイター,1億円-10億円,IT・バイオ・環境,東京都千代田区,521件,https://www.mucap.co.jp
みずほキャピタル,アーリー-レイター,1億円-10億円,IT・バイオテック,東京都千代田区,431件,https://www.mizuho-vc.co.jp
SBIインベストメント,アーリー-レイター,1億円-20億円,フィンテック・IT・バイオ,東京都港区,332件,https://www.sbinvestment.co.jp
インキュベイトファンド,シード・アーリー,3000万円-3億円,IT・インターネット・モバイル,東京都港区,300件以上,https://incubatefund.com
サイバーエージェント・キャピタル,シード・アーリー,5000万円-5億円,IT・モバイル・インターネット,東京都渋谷区,269件,https://www.cyberagentcapital.com
ANRI,シード・アーリー,500万円-3億円,IT・インターネット・Deep Tech,東京都渋谷区,243件,https://anri.vc
グロービス・キャピタル,アーリー-レイター,1億円-10億円,IT・教育・インターネット,東京都千代田区,172件,https://www.globiscapital.co.jp
